material_id,formula,metal_element,formation_energy_per_atom,band_gap,density,total_magnetization,filename
mp-1008753,Ti2Al,Al,0.5471105313888901,0.0,3.244296730671883,2.995354899999999,cif_files/ti_metals/mp-1008753_Ti2Al.cif
mp-1208324,Ti2Al3,Al,-0.13822970816666602,0.0,3.354763557369547,1.493051299999999,cif_files/ti_metals/mp-1208324_Ti2Al3.cif
mp-1217072,Ti3Al,Al,-0.143674038749999,0.0,4.136340057386977,0.060222399999999,cif_files/ti_metals/mp-1217072_Ti3Al.cif
mp-1823,Ti3Al,Al,-0.29721952624999803,0.0,4.276268203576033,6.3e-06,cif_files/ti_metals/mp-1823_Ti3Al.cif
mp-999027,Ti3Al,Al,-0.17853670874999802,0.0,4.195926818347533,1.976297999999999,cif_files/ti_metals/mp-999027_Ti3Al.cif
mp-1217081,Ti3Al5,Al,-0.43391026125000004,0.0,3.660579253167761,0.0011619,cif_files/ti_metals/mp-1217081_Ti3Al5.cif
mp-1217092,Ti3Al5,Al,-0.45105708250000004,0.0,3.6538559327784252,1.88e-05,cif_files/ti_metals/mp-1217092_Ti3Al5.cif
mp-1217111,Ti5Al11,Al,-0.447983258958332,0.0,3.554478324418486,4e-07,cif_files/ti_metals/mp-1217111_Ti5Al11.cif
mp-1061123,TiAl,Al,-0.306061108333333,0.0,3.8684288137725433,0.092396899999999,cif_files/ti_metals/mp-1061123_TiAl.cif
mp-1217008,TiAl,Al,-0.29149810333333304,0.0,3.7316341862655653,0.136921,cif_files/ti_metals/mp-1217008_TiAl.cif
mp-1953,TiAl,Al,-0.44695741333333305,0.0,3.8687884886405763,4.1e-06,cif_files/ti_metals/mp-1953_TiAl.cif
mp-11809,TiAl2,Al,-0.46964996222222105,0.0,3.5903801623495193,1e-06,cif_files/ti_metals/mp-11809_TiAl2.cif
mp-567705,TiAl2,Al,-0.47273808805555406,0.0,3.591973231143247,0.0,cif_files/ti_metals/mp-567705_TiAl2.cif
mp-1217027,TiAl3,Al,-0.278687636666667,0.0,3.283297289001646,0.250871199999999,cif_files/ti_metals/mp-1217027_TiAl3.cif
mp-542915,TiAl3,Al,-0.43388963166666605,0.0,3.420287434298525,7.599999999999997e-06,cif_files/ti_metals/mp-542915_TiAl3.cif
mp-1185639,Mg149Ti,Mg,0.009609734877778001,0.200299999999999,1.784807173017541,2.2466555,cif_files/ti_metals/mp-1185639_Mg149Ti.cif
mp-1023608,Mg15Ti,Mg,0.075599065104166,0.0,1.913601950443865,0.7694763,cif_files/ti_metals/mp-1023608_Mg15Ti.cif
mp-1094319,Mg2Ti,Mg,0.21648312055555502,0.0,2.56921643984958,3.9546012,cif_files/ti_metals/mp-1094319_Mg2Ti.cif
